CODE,NAME,COMMON NAME,OWNERSHIP,TYPE,STATUS,ZONE,DISTRICT,DATE OPENED,LATITUDE,LONGITUDE
MC190096,BLM Liwonde Clinic,Banja la Mtsongolo,Non-Government,Clinic,Non-functional,South West Zone,Machinga,Jan 1st 75,-15.0694,35.22766
BT240097,BLM Lunzu,BLM Lunzu,Non-Government,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,-15.65114,35.02028
MC010098,BLM Mchinji Clinic,BLM,Non-Government,Clinic,Non-functional,Centrals West Zone,Mchinji,Jan 1st 75,-13.79508,32.89221
CR260099,BLM Midima Clinic,Midima BLM,Non-Government,Dispensary,Non-functional,South East Zone,Chiradzulu,Dec 31st 74,-15.83121,35.08006
DA020100,BLM Mponela Clinic,Banja la Mtsogolo,Non-Government,Clinic,Functional,Central East Zone,Dowa,Jan 1st 75,-13.53197,33.73802
MZ160101,BLM Mzimba Clinic,BLM,Non-Government,Clinic,Functional,North Zone,Mzimba,Jan 1st 75,-11.89882,33.59402
MZ160102,BLM Mzuzu Clinic,BLM,Non-Government,Clinic,Functional,North Zone,Mzimba,Jan 1st 75,-11.45612,34.01638
NT120103,BLM Ntcheu Clinic,Ntcheu BLM,Non-Government,Clinic,Functional,Centrals West Zone,Ntcheu,Jan 1st 75,-14.81394,34.63512
BT240104,BLM Sunny Side B,Banja Lamtsogolo,Non-Government,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,-15.800,35.000 
BT240105,BLM Zingwangwa Clinic,BLM Zingwangwa Clinic,Non-Government,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,-15.81847,35.01171
MU210106,Bloomfield,Bloomfield,Private,Dispensary,Functional,South West Zone,Mulanje,Jan 1st 75,-16.057405,35.673299
RU140107,Bolero Rural Hospital,Bolero hospital,Government,Hospital,Functional,North Zone,Rumphi,Jan 1st 80,-10.97843,33.74342
MU210108,Bondo Health Centre,Bondo health center,Government,Health Centre,Functional,South West Zone,Mulanje,May 19th 94,-16.04267,35.61388
LL040109,"Boulos, Maher Eskander. Amoun",Boulos,Private,Clinic,Non-functional,Centrals West Zone,Lilongwe,Jan 1st 75,-13.98821,33.76929
DE030110,"Bowa, Labarson B. Kapiri Priva",Bowa,Private,Clinic,Non-functional,Centrals West Zone,Dedza,Jan 1st 75,-14.3102,34.65581
DA020111,Bowe Health Centre,Bowe,Government,Health Centre,Functional,Central East Zone,Dowa,Dec 31st 85,-13.27878,33.68392
DE030112,Three Brothers,Brothers Private Clinic,Private,Clinic,Non-functional,Centrals West Zone,Dedza,Jan 1st 75,-14.397146,34.327339
KU070113,Bua Health Centre,Bua,Government,Health Centre,Functional,Central East Zone,Kasungu,Jan 1st 84,-13.29403,33.53859
NK100114,Bua Health Centre,Bua,Government,Health Centre,Functional,Central East Zone,Nkhotakota,Jan 1st 75,-12.7967,34.20971
KB050115,Bula Health Centre,Bula,Government,Health Centre,Functional,North Zone,Nkhata Bay,Jan 1st 75,-11.22268,34.12324
MZ160116,Bulala Health Centre,Bulala,Government,Health Centre,Functional,North Zone,Mzimba,Jan 1st 75,-11.6781,33.44798
BK170117,Buleya,Chingagwe,Government,Clinic,Functional,South West Zone,Balaka,Jan 1st 07,,
LL040118,Buli,Buli,Mission/Faith-based (other than CHAM),Health Post,Non-functional,Centrals West Zone,Lilongwe,Jan 1st 75,-13.919059,33.705512
LL040119,Bunda College Clinic,Bunda campus,Parastatal,Health Centre,Functional,Centrals West Zone,Lilongwe,Jan 1st 75,-14.18038,33.77554
TH310120,Bvumbwe Clinic - Limbe Muslim Jamat,Bvumbwe Clinic - Limbe Muslim Jamat,Non-Government,Dispensary,Functional,South East Zone,Thyolo,Jan 1st 75,,
TH310121,Bvumbwe Health Centre,Research,Government,Health Centre,Functional,South East Zone,Thyolo,Jan 1st 75,-15.93981,35.02633
LL040122,Bwaila Hospital,Bottom,Government,District Hospital,Functional,Centrals West Zone,Lilongwe,Jan 1st 75,-13.99164,33.77561
NT120123,Bwanje Health Centre,Bwanje,Government,Health Centre,Functional,Centrals West Zone,Ntcheu,Jan 1st 75,-14.64857,34.77445
MZ160124,Bwengu Health Centre,Bwengu,Government,Health Centre,Functional,North Zone,Mzimba,Jan 1st 75,-11.06356,33.91646
LL040125,Bwese,Bwese,Government,Clinic,Non-functional,Centrals West Zone,Lilongwe,Jan 1st 75,-14.223459,33.942495
MZ160126,"Care Medical Centre, Mtambo, M",Care Medical,Private,Clinic,Functional,North Zone,Mzimba,Jan 1st 75,-15.0721589,35.2327018
LL040127,Care PolyClinic Cross Roads,Care PolyClinic Cross Roads,Private,Dispensary,Functional,Centrals West Zone,Lilongwe,Jan 1st 75,,
KA150128,"Care Private Clinic, Mphenzi,",Care,Private,Clinic,Functional,North Zone,Karonga,Oct 27th 10,-9.9394464 ,33.9229215
BT240129,Carlsberg / Sobo Blantyre,SOBO,Private,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,-15.79,35.03
LL040130,Carlsberg / Sobo Clinic Lilong,Sobo,Private,Clinic,Non-functional,Centrals West Zone,Lilongwe,Jan 1st 75,-13.90107,33.79697
LL040131,CCK Health Clinic,CCK Health,Private,Dispensary,Functional,Centrals West Zone,Lilongwe,Jan 1st 75,-13.98302,33.75233
NK100132,Central 3 Clinic,Central 3 clinic,Private,Clinic,Functional,Central East Zone,Nkhotakota,Jan 1st 75,-12.5033,34.1308
BT240133,Central East African Railways,Railways Private Clinic,Private,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,-15.81536,35.0633
LL040134,Central Health Clinic Area 47,Central Health Clinic,Private,Dispensary,Functional,Centrals West Zone,Lilongwe,Jan 1st 75,,
MC010135,Chabuka Private Clinic,Alinafe,Private,Clinic,Non-functional,Centrals West Zone,Mchinji,Jan 1st 75,-13.51775,32.95893
BT240136,Chabvala Health Centre,Chabvala,Government,Health Centre,Functional,South East Zone,Blantyre,Jan 1st 75,-15.83372,34.83461
LL040137,Chadza Health Centre,Chadza,Government,Health Centre,Functional,Centrals West Zone,Lilongwe,Jan 1st 75,-14.14715,33.84167
MZ160138,Chagoma,Chagoma,Government,Health Post,Functional,North Zone,Mzimba,Jan 1st 75,-11.214085,33.807507
SA090139,Chagunda Health Centre,Tembwe,Government,Health Centre,Functional,Central East Zone,Salima,Jan 1st 75,-13.88028,34.36721
DA020140,Chakhaza Health Centre,Chakhaza,Government,Health Centre,Functional,Central East Zone,Dowa,Dec 31st 85,-13.44421,33.64676
CK270141,Chama,Chama,Private,Clinic,Non-functional,South East Zone,Chikwawa,Jan 1st 75,-16.264938,34.868513
KU070142,Chamama Dispensary,Vision,Government,Dispensary,Functional,Central East Zone,Kasungu,Feb 24th 14,-12.924306,33.776861
MC190143,Chamba Dispensary,Chamba,Government,Dispensary,Functional,South West Zone,Machinga,Jan 1st 75,-15.20234,35.42137
ZA230144,Chamba Health Centre,Chamba,Government,Health Centre,Functional,South West Zone,Zomba,Jan 1st 79,-15.46571,35.51662
MU210145,Chambe Health Centre,Chambe Health Centre,Government,Health Centre,Functional,South West Zone,Mulanje,Dec 31st 74,-16.071315,35.482338
CP060146,Chambo Health Centre,Chambo,Christian Health Association of Malawi (CHAM),Health Centre,Functional,North Zone,Chitipa,Jun 7th 63,-9.94361,33.39795
NT120147,Champiti Health Centre,Champiti,Government,Health Centre,Functional,Centrals West Zone,Ntcheu,Jan 1st 75,-14.90241,34.73185
KU070148,Chamwabvi Health Centre,Chamwabvi,Government,Health Centre,Functional,Central East Zone,Kasungu,Jan 1st 75,-13.10757,33.68528
ZA230149,Chancellor College,Chanco clinic,Parastatal,Clinic,Functional,South West Zone,Zomba,Jan 1st 65,-15.38533,35.33213
CK270150,Chang'ambika Health Centre,Chang'ambika,Government,Health Centre,Functional,South East Zone,Chikwawa,Jan 1st 75,-15.80301,34.30928
ZA230151,Changalume Barracks,Changalume,Government,Health Centre,Functional,South West Zone,Zomba,Mar 15th 05,-15.3896,35.21184
TH310152,Changata Health Centre,Changata,Government,Health Centre,Functional,South East Zone,Thyolo,Jan 1st 75,-16.078196,35.061008
DA020153,Chankhungu Health Centre,Chankhungu,Government,Health Centre,Functional,Central East Zone,Dowa,Jan 1st 82,-13.76492,34.01471
CK270154,"Chanza, Edwin, Erapecha Clinic",Erapecha,Private,Clinic,Non-functional,South East Zone,Chikwawa,Jan 1st 75,-16.26044,34.86844
CK270155,Chapananga Health Centre,Mkadana,Government,Clinic,Functional,South East Zone,Chikwawa,Jan 1st 75,-16.00551,34.48567
MG200156,Chapola,Chapola,Private,Dispensary,Functional,South West Zone,Mangochi,Jan 1st 75,,
CK270157,Chapwaila Health Centre,Chipwaila Health Centre,Government,Health Centre,Functional,South East Zone,Chikwawa,Jan 1st 75,-16.39842,34.77572
ZA230158,Charity Fellium Private Maternity Clinic,Charity Fellium Private Maternity Clinic,Private,Clinic,Functional,South West Zone,Zomba,Nov 5th 16,-15.38527,35.36156
MC190159,Chapusa,Chapusa,Government,Health Post,Functional,South West Zone,Machinga,Jan 1st 75,-14.94175,35.613673
ZA230160,"chavula ,Henry k.Mpunga private clinic",chavula,Private,Clinic,Functional,South West Zone,Zomba,Jan 1st 75,-15.41083,35.32392
TH310161,Chawani,Chawone,Government,Dispensary,Non-functional,South East Zone,Thyolo,Jan 1st 75,-16.078196,35.061008
MC010162,Chawezi private Clinic,Chawezi private clinic,Private,Clinic,Functional,Centrals West Zone,Mchinji,Jan 1st 75,-13.827426,33.044326
CP060163,Chendo,Chendo,Government,Health Post,Functional,North Zone,Chitipa,Jan 1st 75,-9.882464,33.410688
KB050164,Chesamu Health Centre,Chesamu,Government,Health Centre,Functional,North Zone,Nkhata Bay,May 12th 87,-11.85422,34.01836
LL040165,"Chete, Tenace D B. Chagogo Pri",Chagogo,Private,Clinic,Non-functional,Centrals West Zone,Lilongwe,Jan 1st 75,-14.07277,33.83195
DA020166,Chezi Mission Hospital,Chezi Mission Hospital,Christian Health Association of Malawi (CHAM),Hospital,Functional,Central East Zone,Dowa,Jan 1st 75,-13.65,34.04
MZ160167,"Chibanja Private Clinic, Mtika",Chiwanja Pvt,Private,Clinic,Functional,North Zone,Mzimba,Apr 1st 10,-11.4509801,34.0117584
MU210168,Chibathi,Chibathi,Christian Health Association of Malawi (CHAM),Health Post,Functional,South West Zone,Mulanje,Jan 1st 75,-16.0712505,35.4823584
BT240169,Chichiri Escom,Chichiri ESCOM Clinic,Private,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,-15.79342,35.02444
BT240170,Chichiri Prison,Chichiri Prison Clinic,Government,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,-15.80577,35.03242
NK100171,Chididi Health Centre,Chididi,Christian Health Association of Malawi (CHAM),Health Centre,Functional,Central East Zone,Nkhotakota,Jan 1st 75,-13.08573,34.31474
NS300172,Chididi Health Centre,Chididi,Christian Health Association of Malawi (CHAM),Health Centre,Functional,South East Zone,Nsanje,Jan 1st 75,-16.91495,35.17333
BK170173,Chiendausiku Health Centre,chiendausiku,Government,Health Centre,Functional,South West Zone,Balaka,Jan 1st 75,-15.01855,35.07653
NT120174,Chifundo Clinic,Chifundo private clinic,Private,Clinic,Non-functional,Centrals West Zone,Ntcheu,Jan 1st 75,-14.819312,34.647228
BT240175,"Chifundo, Monje Pvt Clinic",Chifundo private clinic,Private,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,-15.77562,34.98003
NE290176,Chifunga Health Centre,Chifunga Health center,Government,Health Centre,Functional,South East Zone,Neno,Jan 1st 75,-15.59825,34.69892
BT240177,Chigeli,Chogeli clinic,Private,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,-15.841674,35.044006
NT120178,Chigodi Health Centre,Chigodi,Christian Health Association of Malawi (CHAM),Health Centre,Functional,Centrals West Zone,Ntcheu,Mar 10th 86,-14.49194,34.54126
LL040179,Chigomezgo Private Clinic,Chabisika,Private,Clinic,Non-functional,Centrals West Zone,Lilongwe,Jan 1st 75,-13.8803,33.76018
BT240180,Chigumula,Chigumula Clinic,Government,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,-15.89,35.06
KA150181,Chihepusha,Chihepusha,Government,Health Post,Functional,North Zone,Karonga,Jan 31st 76,-10.332331,34.110642
NT120182,Chikande Health Centre,Chikande,Government,Clinic,Functional,Centrals West Zone,Ntcheu,Aug 4th 90,-14.77261,34.90768
MZ160183,Chikangawa,Chikangawa,Mission/Faith-based (other than CHAM),Clinic,Non-functional,North Zone,Mzimba,Jan 1st 75,,
MZ160184,Chikangawa Health Centre,Chikangawa,Government,Health Centre,Functional,North Zone,Mzimba,Jan 1st 75,-11.843327,33.8007455
MG200185,Chikole Health Centre,Chikole,Government,Clinic,Functional,South West Zone,Mangochi,Jan 1st 75,-14.422,35.38427
NT120186,Chikowa Dispensary,Chikowa,Government,Health Centre,Functional,Centrals West Zone,Ntcheu,Nov 18th 16,-14.959023,34.720362
BT240187,Chikowa Health Centre,Chikowa,Government,Health Centre,Functional,South East Zone,Blantyre,Jan 1st 75,-15.67133,34.87172
LL040188,Chikowa Health Centre,Chizu,Government,Health Centre,Functional,Centrals West Zone,Lilongwe,Jan 1st 75,-13.72929,33.45821
MU210189,Chikuli,chikuli,Private,Dispensary,Functional,South West Zone,Mulanje,Jan 1st 75,-16.052873,35.645496
KU070190,"Chikumbutso Private Clinic, Ng",chikumbutso,Private,Clinic,Functional,Central East Zone,Kasungu,Jan 1st 75,-13.06516,33.43482
DE030191,Chikuse Health Centre,Chikuse,Government,Health Centre,Functional,Centrals West Zone,Dedza,Dec 31st 74,-14.15069,34.31881
KA150192,Chikutu,Chikutu,Government,Health Post,Functional,North Zone,Karonga,Jan 31st 04,-9.774048,33.734621
